"","Country Code","Country Name","Region","IncomeGroup","Population Ranking","Population","GDP Ranking","GDP (Mio USD)","GDP per capita","Electricity Consumption per capita (kWh)","Fossil fuel energy consumption (pct. of total)","Electricity production from oil sources (pct. of total)","Electricity production from oil/gas/coal sources (pct. of total)","Electricity production from hydroelectric sources (pct. of total)","Electricity production from renewables sources (excl. hydroelectric) (pct. of total)","Alternative and nuclear energy (pct. of total energy use)","Energy use (kg oil eq) per capita","CO2 emissions (kt)","CO2 emissions (tons per capita)","CO2 emissions from transport (pct. of total fuel combustion)","GDP per capita (PPP 2011)","GNI per capita (PPP 2011)","HDI"
"1","AGO","Angola","Sub-Saharan Africa","Lower middle income",48,28813463,63,186327,5984.6,312.48,48.28,46.82,46.82,53.18,0,2.95,545.04,34763.16,1.29,43.99,5985,6291,0.533
"2","ALB","Albania","Europe & Central Asia","Upper middle income",139,2876101,118,34126.4,11359.2,2309.37,61.42,0,0,100,0,17.92,808.46,5716.85,1.98,59.95,11359,10252,0.764
"3","ARE","United Arab Emirates","Middle East & North Africa","High income",93,9269612,31,672419.6,67133.1,11263.53,99.81,1.34,99.73,0,0.27,0.1,7769.23,211369.55,23.3,21.04,67133,66203,0.84
"4","ARG","Argentina","Latin America & Caribbean","Upper middle income",32,43847430,25,876012.1,18489.4,3052.38,88.54,13.83,64.39,29.04,2.5,5.88,2015.19,204024.55,4.75,24.17,18489,20945,0.827
"5","ARM","Armenia","Europe & Central Asia","Lower middle income",137,2924816,131,25884.4,8190.2,1965.78,74.56,0,42.44,25.7,0.05,27.51,1018.07,5529.84,1.9,27.78,8190,8189,0.743
"6","AUS","Australia","East Asia & Pacific","High income",53,24127159,20,1128908,44260.6,10059.21,93.39,2.02,85.09,7.41,7.5,2.55,5328.22,361261.84,15.37,24.74,44261,42822,0.939
"7","AUT","Austria","Europe & Central Asia","High income",95,8747358,42,443005,44438.7,8360.52,64.9,0.99,17.73,66.57,14.56,12.87,3765.43,58712.34,6.87,36.62,44439,43609,0.893
"8","AZE","Azerbaijan","Europe & Central Asia","Upper middle income",90,9762274,69,168713.8,16001.3,2202.39,98.37,0.16,94.02,5.26,0.37,0.78,1502.08,37487.74,3.93,24.49,16001,16413,0.759
"9","BEL","Belgium","Europe & Central Asia","High income",79,11348159,37,528158.9,42094.6,7709.12,72.45,0.3,33.46,0.38,16.65,17.95,4708.22,93350.82,8.33,28.63,42095,41243,0.896
"10","BEN","Benin","Sub-Saharan Africa","Low income",81,10872298,134,23613,2010,100.23,44.38,99.46,99.46,0,0.54,0,416.8,6318.24,0.61,67.6,2010,1979,0.485
"11","BGD","Bangladesh","South Asia","Lower middle income",8,162951560,35,584459.4,3319.4,310.39,73.77,14.7,98.68,1.05,0.27,0.18,222.22,73189.65,0.46,14.2,3319,3341,0.579
"12","BGR","Bulgaria","Europe & Central Asia","Upper middle income",103,7127822,74,139056.5,17794.5,4708.93,71.04,0.45,50.41,9.81,5.93,26.93,2477.66,42416.19,5.87,19.51,17795,16261,0.794
"13","BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",133,3516816,105,43363.7,11327.5,3365.67,77.52,0.27,63.27,36.73,0,6.52,2194.06,22233.02,6.23,13.74,11327,10091,0.75
"14","BLR","Belarus","Europe & Central Asia","Upper middle income",91,9507120,68,171990.8,16752.1,3679.98,92.44,1.09,99.17,0.35,0.37,0.04,2928.52,63497.77,6.7,20.51,16752,15629,0.796
"15","BRA","Brazil","Latin America & Caribbean","Upper middle income",5,207652865,7,3146607.6,14023.7,2601.37,59.12,6,24.25,63.23,9.85,12.46,1484.93,529808.16,2.59,44.75,14024,14145,0.754
"16","BRN","Brunei Darussalam","East Asia & Pacific","High income",172,423196,121,32827.7,71788.8,10242.8,100,0.95,99.96,0,0.04,0,8632.33,9108.83,22.12,20.15,71789,72843,0.865
"17","BWA","Botswana","Sub-Saharan Africa","Upper middle income",143,2250260,111,38231.1,15723.2,1748.62,74.69,4.19,99.96,0,0.04,0,1252.68,7033.31,3.24,32.12,15723,14663,0.698
"18","CAN","Canada","North America","High income",38,36286425,18,1597516.5,43113.7,15545.54,73.4,1.22,20.43,58.29,4.51,22.54,7876.09,537193.5,15.12,31.79,43114,42582,0.92
"19","CHE","Switzerland","Europe & Central Asia","High income",98,8372098,36,533649.7,57427.9,7520.17,48.74,0.06,0.8,54.26,3.76,43.57,3059.94,35305.88,4.31,44.83,57428,56364,0.939
"20","CHL","Chile","Latin America & Caribbean","High income",63,17909754,44,429122.5,22706.7,3911.65,73.42,6.22,58.42,31.33,9.85,6.01,2049.69,82562.51,4.69,31.08,22707,21665,0.847
"21","CHN","China","East Asia & Pacific","Upper middle income",1,1378665000,1,21450967.7,14399.4,3927.04,87.48,0.17,74.82,18.55,4.06,5.43,2236.73,10291926.88,7.54,8.6,14399,13345,0.738
"22","CIV","Côte d'Ivoire","Sub-Saharan Africa","Lower middle income",54,23695919,82,87689.3,3424.8,276.15,26.49,6.13,76.07,23.09,0.84,1.19,615.8,11045,0.49,31.12,3425,3163,0.474
"23","CMR","Cameroon","Sub-Saharan Africa","Lower middle income",55,23439189,86,84765.1,3346.8,280.67,29.86,12.8,25.74,73.22,1.04,5.73,341.86,7003.97,0.31,53.81,3347,2894,0.518
"24","COL","Colombia","Latin America & Caribbean","Upper middle income",28,48653419,30,689973.9,13124.3,1289.57,76.69,0.24,25.75,71.1,3.15,12.59,711.58,84091.64,1.76,41.2,13124,12762,0.727
"25","CRI","Costa Rica","Latin America & Caribbean","Upper middle income",120,4857274,87,80834.7,15401.5,1957.93,49.48,10.21,10.21,65.74,24.05,36.75,1031.14,7759.37,1.63,68.62,15401,14006,0.776
"26","CYP","Cyprus","Europe & Central Asia","High income",159,1170125,127,28001.5,31331.4,3624.9,92.91,92.71,92.71,0,7.29,4.62,1712.12,6061.55,5.26,30.38,31331,29459,0.856
"27","CZE","Czech Republic","Europe & Central Asia","High income",85,10561633,46,371131.4,31338.9,6258.89,74.69,0.04,53.44,2.25,8.55,20.21,3915.11,96475.1,9.17,17.03,31339,28144,0.878
"28","DEU","Germany","Europe & Central Asia","High income",16,82667685,5,4041190.2,44356.9,7035.48,79.71,0.91,56.73,3.15,22.98,11.71,3779.46,719883.44,8.89,21.37,44357,45000,0.926
"29","DNK","Denmark","Europe & Central Asia","High income",112,5731118,55,285517.4,45991.2,5858.8,68.53,0.98,41.88,0.05,55.83,7.47,2872.57,33498.05,5.94,32.92,45991,44519,0.925
"30","DOM","Dominican Republic","Latin America & Caribbean","Upper middle income",84,10648791,71,162228.5,14098.9,1578.15,86.54,51.91,86.74,8.53,4.73,2.73,734.41,21539.96,2.07,26.32,14099,12756,0.722
"31","DZA","Algeria","Middle East & North Africa","Upper middle income",34,40606052,33,610814.2,13921.2,1356.26,99.98,1.81,99.6,0.4,0,0.04,1321.1,145400.22,3.72,35.28,13921,13533,0.745
"32","ECU","Ecuador","Latin America & Caribbean","Upper middle income",68,16385068,64,184559.3,10424.3,1380.61,86.88,37.48,50.82,47.14,2.04,7.02,891.69,43919.66,2.76,41.67,10424,10536,0.739
"33","ESP","Spain","Europe & Central Asia","High income",30,46443959,16,1693444.8,33320,5355.99,71.53,5.14,38.8,14.25,25.86,22.61,2464.64,233976.6,5.03,35.31,33320,32779,0.884
"34","EST","Estonia","Europe & Central Asia","High income",155,1316481,109,38994.2,28109.8,6732.37,14.49,0.35,88.25,0.22,10.94,0.9,4592.62,19519.44,14.85,12.67,28110,26362,0.865
"35","ETH","Ethiopia","Sub-Saharan Africa","Low income",13,102403196,67,177959.5,1608.3,69.72,6.11,0.09,0.09,95.63,4.27,1.74,496.81,11598.72,0.12,46.88,1608,1523,0.448
"36","FIN","Finland","Europe & Central Asia","High income",115,5495096,60,238295.2,39521.6,15249.99,42.1,0.35,25.81,19.67,18.91,21.79,6213.36,47300.63,8.66,23.87,39522,38868,0.895
"37","FRA","France","Europe & Central Asia","High income",21,66896109,10,2773931.8,38061.1,6937.86,46.21,0.32,4.77,11.28,5.13,50.07,3657.99,303275.57,4.57,42.41,38061,38085,0.897
"38","GAB","Gabon","Sub-Saharan Africa","Upper middle income",148,1979786,115,35909.4,16786,1172.89,24.2,27,65.91,33.59,0.51,1.35,2705.82,5192.47,2.77,23.78,16786,19044,0.697
"39","GBR","United Kingdom of Great Britain and Northern Ireland","Europe & Central Asia","High income",22,65637239,9,2827715,39254.8,5129.53,82.63,0.5,60.81,1.75,17.69,11.3,2776.84,419820.16,6.5,28.45,39255,37931,0.909
